2026/02/02 22:36:46 [error] 7892#17508: *1 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2026/02/03 12:31:04 [error] 18816#22532: *13 directory index of "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/" is forbidden, client: 127.0.0.1, server: localhost, request: "GET /imgs/ HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/03 12:31:59 [error] 18816#22532: *14 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770027583081.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770027583081.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/03 12:32:00 [error] 18816#22532: *15 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/videos/1770027583081.mp4" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /videos/1770027583081.mp4 HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/03 12:32:04 [error] 18816#22532: *16 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770027583081.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770027583081.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/03 12:39:55 [error] 18816#22532: *19 directory index of "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/" is forbidden, client: 127.0.0.1, server: localhost, request: "GET /imgs/ HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/03 12:40:31 [error] 18816#22532: *20 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770027583081.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770027583081.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/03 12:40:56 [error] 18816#22532: *21 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770027583081.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770027583081.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/03 12:40:56 [error] 18816#22532: *22 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/videos/1770027583081.mp4" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /videos/1770027583081.mp4 HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/03 12:41:37 [error] 18816#22532: *22 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770027583081.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770027583081.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/03 12:41:52 [error] 18816#22532: *23 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770027583081.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770027583081.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
